10,3255,"Mort,Kris",mort@cpts122.edu,4,CS,2
2025-11-5
9,1222,"Willis,Bruce",brucewillis@cpts122.edu,AU,CS,0
8,1122,"Smith,Jane",jane@cpts122.edu,4,CS,0
7,7759,"Sam,Theo",samt@cpts122.edu,4,EE,0
6,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE,2
2025-11-5
5,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS,0
4,4478,"Art,Bruce",bart@cpts122.edu,AU,CPTE,0
3,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE,0
2,8147,"Beck,Sara",sara@cpts122.edu,4,EE,2
2025-11-5
1,1111,"Smith,John",smithj@cpts122.edu,4,CS,2
2025-11-5
